Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Set Sorted - Pioneer (inkl. Pio playables),binder,Clever Lumimancer,STX,Strixhaven: School of Mages,10,normal,uncommon,1,58134,69957656-cfdf-4001-8e84-0ef29e4a468d,0.38,false,false,near_mint,en,EUR
GW Auras SBG 02-08,deck,Hushbringer,ELD,Throne of Eldraine,18,normal,rare,2,46320,663b3e6f-1099-4de8-a0a7-6f1919c38010,0.1,false,false,near_mint,de,EUR
Set Sorted - Pioneer (inkl. Pio playables),binder,Hushbringer,PELD,Throne of Eldraine Promos,18p,normal,rare,1,46496,6c2c2777-1387-4606-8eb1-cc07ac3f38c0,0.15,false,false,near_mint,de,EUR
Set Sorted - Pioneer (inkl. Pio playables),binder,"Sorin, Imperious Bloodlord",M20,Core Set 2020,115,normal,mythic,1,45346,9f764be3-dd3f-44b1-a4a6-807d1387590b,15.91,false,false,near_mint,de,EUR
GW Auras SBG 02-08,deck,"Sram, Senior Edificer",AER,Aether Revolt,23,normal,rare,1,6391,1b323e2c-59dd-4d70-9a48-b10f807bb818,0.7,false,false,near_mint,en,EUR
Set Sorted - Pioneer (inkl. Pio playables),binder,Tovolar's Huntmaster // Tovolar's Packleader,MID,Innistrad: Midnight Hunt,204,normal,rare,4,63207,3983a304-5040-4b8d-945a-bf4ede3104a8,0.25,false,false,near_mint,en,EUR
Set Sorted - Pioneer (inkl. Pio playables),binder,Unsubstantiate,M21,Core Set 2021,82,normal,uncommon,4,50750,2dc0bafd-debc-4b62-9fe0-56b4aad02484,0.12,false,false,near_mint,en,EUR
Set Sorted,binder,"Winota, Joiner of Forces",IKO,Ikoria: Lair of Behemoths,216,normal,mythic,4,49861,5dd13a6c-23d3-44ce-a628-cb1c19d777c4,4.84,false,false,near_mint,en,EUR
W Humans DG 23-06-25,deck,"Adeline, Resplendent Cathar",MID,Innistrad: Midnight Hunt,1,normal,rare,1,63154,18092f68-b96e-4084-9eba-b240d2195d81,8.72,false,false,near_mint,de,EUR
WUR Ascendancy Archive 01-03,deck,Aether Gust,M20,Core Set 2020,42,normal,uncommon,1,45419,783da808-6698-4e55-9fac-430a6effe2b1,0.34,false,false,near_mint,de,EUR
Set Sorted - Pioneer (inkl. Pio playables),binder,Agent of Treachery,M20,Core Set 2020,43,normal,rare,1,45418,cc6686e6-4535-49be-b0b3-e76464656cd2,5.91,false,false,near_mint,de,EUR
Set Sorted - Pioneer (inkl. Pio playables),binder,All-Seeing Arbiter,SNC,Streets of New Capenna,34,normal,mythic,1,68005,c832c0b8-aefa-459c-8de8-aa32400612cd,0.35,false,false,near_mint,en,EUR
